tweet,weight,duration,date
BLM,51074,255,20-05-26
BLM,34475,165,20-05-26
BLM,177548,375,20-05-26
BLM,96479,285,20-05-26
BLM,518846,600,20-05-27
BLM,93150,75,20-05-27
BLM,98295,330,20-05-27
BLM,247754,450,20-05-27
BLM,2201954,225,20-05-28
BLM,63379,105,20-05-28
BLM,1673569,1050,20-06-02
