tweet,weight,duration,date
COVID,127518,720,20-03-23
COVID,31989,105,20-03-23
COVID,137649,525,20-03-23
COVID,-1,45,20-03-23
COVID,70969,135,20-03-23
COVID,24516,90,20-03-23
COVID,-1,45,20-03-23
COVID,69242,15,20-03-23
COVID,85279,210,20-03-24
COVID,41247,300,20-03-24
COVID,155555,60,20-03-24
COVID,226577,1080,20-03-24
COVID,128684,480,20-03-24
COVID,74276,195,20-03-24
COVID,62861,255,20-03-24
COVID,46257,420,20-03-24
COVID,47153,210,20-03-24
COVID,-1,15,20-03-24
COVID,47551,15,20-03-24
COVID,144368,195,20-03-25
COVID,111620,270,20-03-25
COVID,57218,15,20-03-25
COVID,135222,60,20-03-25
Space,-1,45,20-03-25
COVID,66486,285,20-03-25
COVID,46989,30,20-03-25
COVID,225164,300,20-03-25
COVID,164546,225,20-03-25
COVID,20818,255,20-03-26
COVID,43891,285,20-03-26
COVID,15691,360,20-03-26
COVID,69388,375,20-03-26
COVID,36854,30,20-03-26
COVID,26181,165,20-03-26
COVID,31769,45,20-03-26
COVID,36123,105,20-03-27
COVID,239156,30,20-03-27
COVID,61720,45,20-03-27
COVID,274482,975,20-03-27
COVID,17787,240,20-03-27
COVID,191809,120,20-03-27
COVID,14111,255,20-03-27
COVID,37132,285,20-03-27
Pope Francis livestreams cult,11869,45,20-03-27
COVID,184311,600,20-03-28
COVID,64286,510,20-03-28
Natural disaster in Mexico ,-1,165,20-03-28
COVID,60656,390,20-03-28
COVID,45871,195,20-03-28
COVID,12094,330,20-03-29
COVID,84884,810,20-03-29
COVID,-1,15,20-03-29
COVID,20747,450,20-03-29
COVID,32193,30,20-03-29
COVID,93622,120,20-03-30
COVID,23165,75,20-03-30
COVID,172606,810,20-03-30
COVID,154267,300,20-03-30
COVID,21701,75,20-03-30
COVID,11397,345,20-03-31
Natural disaster in Mexico ,16106,210,20-04-02
Natural disaster in Mexico ,-1,30,20-04-02
COVID,32570,15,20-04-02
COVID,139142,360,20-04-02
Space,11974,300,20-04-02
Natural disaster in Mexico ,26878,270,20-04-04
COVID,376340,690,20-04-05
COVID,83163,255,20-04-05
COVID,74131,195,20-04-05
COVID,39454,30,20-04-05
COVID,68535,105,20-04-05
COVID,1522477,645,20-04-06
COVID,75262,585,20-04-06
COVID,11040,390,20-04-06
COVID,107291,30,20-04-06
Natural disaster in Mexico ,-1,30,20-04-07
Natural disaster in Mexico ,-1,135,20-04-07
COVID,190181,210,20-04-07
COVID,21874,525,20-04-07
LGBTI rights,-1,15,20-04-09
COVID,16073,90,20-04-09
COVID,47976,225,20-04-09
COVID,49634,105,20-04-10
COVID,49026,15,20-04-10
COVID,57541,165,20-04-10
Natural disaster in Mexico ,57323,345,20-04-12
Tour de France,10750,15,20-04-12
COVID,82319,135,20-04-14
Natural disaster in Mexico ,-1,195,20-04-14
COVID,-1,15,20-04-14
Natural disaster in Mexico ,-1,45,20-04-16
COVID,23526,30,20-04-17
COVID,523404,450,20-04-18
COVID,1365171,405,20-04-19
Mass killing in Canada,17770,225,20-04-20
North Korea international affairs,23590,30,20-04-21
North Korea international affairs,-1,45,20-04-21
Natural disaster in Mexico ,41139,105,20-04-22
COVID,29594,165,20-04-27
COVID,60892,225,20-04-27
Space,19660,15,20-04-28
COVID,21573,75,20-04-30
COVID,29353,240,20-05-01
