politics & economy;Kim Jong-un health;"#kimjongun
#segi
#northkorea
#kekeyi
#jokowi
#dirumahaja
#aniesbaswedan
#dedycorbuzier
#reemarmartin";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Lesotho's Prime Minister resignation;"#Ntate
#Thabane
#LesothoPM
#ResignThabane
#TomThabane";;;;;;;;;;;;;;;;;;;;;;
politics & economy;North Korea international affairs;"Inter-Korean Liaison Office
#NorthKorea
#KimJongUn
#thirdworldwar
#worldwar
#IIIworldwar
#worldwariii
#worldwar3
#worldwarthree
#IIIWW
#3WW
#ww";;;;;;;;;;;;;;;;;;;;;;
politics & economy;OECD;"#oecd
#ocde";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Philippines conflict;#ABS-CBN;;;;;;;;;;;;;;;;;;;;;;
politics & economy;Trump;"#impeachment
#trump
#maga
#impeachtrump
#impeach
#donaldtrump
#democrats
#kag
#dumptrump
#republican
#vote
#wwg
#notmypresident
#trumpmemes
#makeamericagreatagain
#wga
#qanon
#conservative
#liarinchief
#nancypelosi
#pelosi
#elizabethwarren
#warren
#joebiden
#biden
#berniesanders
#sanders
#bernie
#obamagate";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Nth room case;"#Telegram 
#nthroom_crime 
#nthroom_case 
#baksa 
#NthRoomCase 
#nthroomcrime 
#nthroom_case
#NthRoom_sop
#nthroomcase
#nthroom
#nthroom19
#nthroomstop";;;;;;;;;;;;;;;;;;;;;;
science & technology;Anthropology;"#dna
#neanderthal ";;;;;;;;;;;;;;;;;;;;;;
science & technology;Malaria;"#Microsporidia
#malaria";;;;;;;;;;;;;;;;;;;;;;
science & technology;Paleontology;"#fossil
#kerrera";;;;;;;;;;;;;;;;;;;;;;
science & technology;Space;"#skylivetv
#solareclipse
#EclipseTotalDeSol
#toi1338b
#arrokoth
#nasa
#newhorizons
#BepiColombo
#BepiColomboEarthFlyby
#magnetar
#DragonX
#Endeavour
#spacex
#capecanaveral
#ufo
#luiselizondo
#ovni
#ovnis
#ufos
#alien
#aliens
#SpaceX
#spacexlaunch
#GPSIII
#spacex
#nasa
#space
#elonmusk
#science
#tesla
#falcon
#astronomy
#mars
#universe
#rocket
#astronaut
#iss
#moon
#earth
#cosmos
#astrophysics
#isro
#physics
#spacexlaunch
#galaxy
#blackhole
#spaceexploration
#starship
#esa
#spaceflight
#rocketlaunch
#stars
#spaceship""
#elonmusk
#musk
#emusk
#elon";;;;;;;;;;;;;;;;;;;;;;
social issues;5G;"#5G
#5gtowers
#covid1984
#conspiracytheory";;;;;;;;;;;;;;;;;;;;;;
social issues;Anglo-Australian usurpation;"#mining
#riotinto
#juukangorge";;;;;;;;;;;;;;;;;;;;;;
social issues;Anti racism (Black Lives Matter);"#blm
#blacklivesmatter
#georgefloyd
#justiceforgeorgefloyd
#protest
#justice
#racism
#nojusticenopeace
#icantbreathe
#policebrutalit
#blackgirlmagic
#blackexcellence
#blackhistory
#blackouttuesday
#acab
#blackpower
#racist
#racista
#racism
#alllivesmatter
#peacefulprotest
#blackmen
#breonnataylor
#blackwomen
#ahmaudarbery
#police
#blacklove
#blackqueen
#justiceforahmaud
#endracism
#resist
#blackandwhite
#BlackLivesMattters
#blackexcellence
#blackgirlmagic
#melanin
#blackwomen
#blacklove
#blackpower
#black
#africa
#blackisbeautiful
#blackgirlsrock
#blackmen
#blackwoman
#melaninpoppin
#africanamerican
#blackqueen
#blm
#supportblackbusiness
#blackgirls
#blackpeople
#resist
#blackhistory
#buyblack
#blackpride";;;;;;;;;;;;;;;;;;;;;;
social issues;Digital rights;"#privacy
#alphabet
#surveillance";;;;;;;;;;;;;;;;;;;;;;
social issues;Flight crash in Pakistan;"#pk8303
#karachi
#flightpk8303";;;;;;;;;;;;;;;;;;;;;;
social issues;Hong Kong Protests;"#hongkongprotests
#hkpolicebrutality
#hongkongprotesters
#standwithhongkong
#standwithhonkong
#hongkongpolicestate
#hkpoliceterrorists
#hongkongers
#hongkongprotest
#ccpchinajudgmentday
#hkpoliceterrorists
#hkpolicebrutality
#chinazi
#ccp_is_terrorist
#antiELAB
#HongKongProtests
#HKProtests
#FreeHongKong
#反送中
#NoExtraditionToChina
#LiberateHongKong
#RevolutionOfOurTimes
#FightForFreedom
#DemocracyForHK
#HKResist
#SaveHK
#StandWithHK
#Shout4HK
#StandWithHK
#PressFreedom
#5DemandsNot1Less
#FightForFreedom
#followbackhongkong
#NeverGiveUp
#NeverForget
#hkpolicebrutality
#HKPoliceTerrorists
#MagnitskyActNow
#HongKong
#Eye4HK
#EyeforHK
#GloryToHongKong
#GoodMourningCCP
#NotMyNationalDay
#70YearsOfShame
#AntiMaskLaw
#Mask4HK
#FreeKingKong
#LoveKingKong
#SaveKingKong
#BeWater
#BeWaterMyFriend
#BoycottBeijing2022
#Chinazi2022
#BoycottChina
#ResistBeijing
#AntiCCP
#XinnieThePooh
#BoycottTencent
#BoycottHuawei
#BoycottQQ
#BoycottBaidu
#BoycottWechat
#XinnieThePooh
#MeiForHK
#FreeKingKong
#D7777
#Chinazi
#QuitTikTok
#BoycottMulan
#BoycottBlizzard
#BandinChina
#CommunistNBA";;;;;;;;;;;;;;;;;;;;;;
social issues;Lebanon riots ;#hassandiab;;;;;;;;;;;;;;;;;;;;;;
social issues;LGBTI rights;"#samesex
#pride
#gay
#lgbt
#lgbtq
#loveislove
#love
#lesbian
#queer
#instagay
#gaypride
#pridemonth
#bisexual
#gayboy
#trans
#transgender
#rainbow
#dragqueen
#lovewins
#lgbtpride
#pansexual
#like
#nonbinary
#bi
#lgbtqia
#gaylove
#drag";;;;;;;;;;;;;;;;;;;;;;
social issues;Saudi Arabia bans criminal minors' executions;"#deathpenalty
#minors
#juvenilejustice";;;;;;;;;;;;;;;;;;;;;;
social issues;Turkey riots;"#TurkeyIsBombingKurds
#KurdishResistance
#TurkeyInvadesKurdistan
#justiceforfatima";;;;;;;;;;;;;;;;;;;;;;
social issues;Women rights in Sudan;"#mutilation
#fgm
#nofgm
#EndFGM
#GenerationEquality
#16DaysOfActivism
#SFFGM";;;;;;;;;;;;;;;;;;;;;;
social issues;8M;"#8M2020
#womensday
#internationalwomensday
#women
#womenempowerment
#iwd
#happywomensday
#girlpower
#womensupportingwomen
#woman
#eachforequal
#womenpower
#womeninbusiness
#strongwomen#fashion
#feminism
#womensdayspecial
#diadelamujer
#womenempoweringwomen
#happyinternationalwomensday
#festadelladonna
#womenshistorymonth
#girls
#empoweringwomen
#womensmarch
#womenday
#dzienkobiet
#womensrights
#genderequality
#girlboss
#womensupportwomen
#weinstein
#princecharles";;;;;;;;;;;;;;;;;;;;;;
social issues;Pride;"#LGTB
#LGBT
LGBTFaaliyetleriDurdurulsun
#LGBTQpride2020
#PrideWithPabllo
#pride
#orgullo 
#comunidadlgbt
#gay
#lgbt
#lgbtq
#loveislove
#love
#lesbian
#queer
#instagay
#gaypride
#pridemonth
#bisexual
#gayboy
#trans
#transgender
#rainbow
#dragqueen
#lovewins
#lgbtpride
#pansexual
#eşcinsellik
#nonbinary
#lgbtqia
#gaylove
#drag
#genderfluid
#pridemonth        
#prideandjoy";;;;;;;;;;;;;;;;;;;;;;
