27/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2020;USA;politics & economy;Israeli–Palestinian conflict;President of the United States Donald Trump and Prime Minister of Israel Benjamin Netanyahu announce the Trump peace plan.;"#palestinewillbefree
#peacepalestine
#palestinalibre
#librepalestina
#palestineforever
#alquds
#alqudscapitalofpalestine
#jesuispalestine
#savegaza
#freegaza
#savepalestine
#freepalestine
#withpalestine";;;;;;;;;;;;;;;;;;;;;;
29/01/2020;USA;politics & economy;North American trade agreement;U.S. President Donald Trump signs the United States–Mexico–Canada Agreement, the North American trade agreement replacing NAFTA.;;;;;;;;;;;;;;;;;;;;;;;
30/01/2020;Global;health;COVID;The World Health Organization (WHO) declares the outbreak of the disease as a Public Health Emergency of International Concern, the sixth time that this measure has been invoked since 2009;;;;;;;;;;;;;;;;;;;;;;;
31/01/2020;United Kingdom;politics & economy;Brexit;The United Kingdom and Gibraltar formally withdraw from the European Union at 11PM (GMT), beginning an 11-month transition period.;"#brexitmemes
#gcse
#peoplesvote
#revokearticle
#stopbrexit
#brexitday
#jeremycorbyn";;;;;;;;;;;;;;;;;;;;;;
01/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2020;USA;politics & economy;Trump;The U.S. Senate acquits U.S. president Donald Trump on articles of impeachment.;"#impeachment
#trump
#maga
#impeachtrump
#impeach
#donaldtrump
#o
#politics
#democrats
#resist
#kag
#dumptrump
#republican
#vote
#wwg
#notmypresident
#election
#trumpmemes
#makeamericagreatagain
#wga
#qanon
#conservative
#liarinchief
#bhfyp";;;;;;;;;;;;;;;;;;;;;;
06/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
