TOPIC;Event / subtopic;Hashtags;;;;;;;;;;;;;;;;;;;;;;
health;Ebola;"#ebola
#ebolavirus
#ecoli";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Bangladesh;"#Amphan
#DidiAchheChintaNei
#SSC_UFM_ROWLATT_ACT
#RedVolunteers";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Mexico ;"#earthquake
#Terremoto
#Temblor
#Sismo
#Oaxaca";;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in Australia;"#australianbushfires
#fires
#nswbushfires
#koala
#smoke
#climateemergency
#prayforaustralia
#nswrfs
#australiabushfires
#australiafires
#drought
#totalfireban
#globalwarming
#watchandact
#ses
#rfs
#newsouthwales";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in India;"#nisarga
#nisargacyclon";;;;;;;;;;;;;;;;;;;;;;
social issues;Environmental disaster in India;#LGPolymers;;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in Russia;"#ArcticOilSpill
#Ambarnaya
#NorilskNickel ";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Somalia;"#Beledweyne
#Jowhar
#flood";;;;;;;;;;;;;;;;;;;;;;
culture;Eurovision;"#eurovision
#esc
#eurovisionsongcontest";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Eurozone;"#erm
#ermii
#euroarea";;;;;;;;;;;;;;;;;;;;;;
culture;Fake news;"#pseudoscience
#fakenews";;;;;;;;;;;;;;;;;;;;;;
social issues;Flight crash in Pakistan;"#pk8303
#karachi
#flightpk8303";;;;;;;;;;;;;;;;;;;;;;
culture;Football;"#eurocup
#EURO2020
#NationsLeague
#EuropeanQualifiers
#copaamerica
#conmebol
#copaAmérica
#uefa
#bundesliga";;;;;;;;;;;;;;;;;;;;;;
social issues;Hong Kong Protests;"#hongkongprotests
#hkpolicebrutality
#hongkongprotesters
#standwithhongkong
#standwithhonkong
#hongkongpolicestate
#hkpoliceterrorists
#hongkongers
#hongkongprotest
#ccpchinajudgmentday
#hkpoliceterrorists
#hkpolicebrutality
#chinazi
#ccp_is_terrorist
#antiELAB
#HongKongProtests
#HKProtests
#FreeHongKong
#反送中
#NoExtraditionToChina
#LiberateHongKong
#RevolutionOfOurTimes
#FightForFreedom
#DemocracyForHK
#HKResist
#SaveHK
#StandWithHK
#Shout4HK
#StandWithHK
#PressFreedom
#5DemandsNot1Less
#FightForFreedom
#followbackhongkong
#NeverGiveUp
#NeverForget
#hkpolicebrutality
#HKPoliceTerrorists
#MagnitskyActNow
#HongKong
#Eye4HK
#EyeforHK
#GloryToHongKong
#GoodMourningCCP
#NotMyNationalDay
#70YearsOfShame
#AntiMaskLaw
#Mask4HK
#FreeKingKong
#LoveKingKong
#SaveKingKong
#BeWater
#BeWaterMyFriend
#BoycottBeijing2022
#Chinazi2022
#BoycottChina
#ResistBeijing
#AntiCCP
#XinnieThePooh
#BoycottTencent
#BoycottHuawei
#BoycottQQ
#BoycottBaidu
#BoycottWechat
#XinnieThePooh
#MeiForHK
#FreeKingKong
#D7777
#Chinazi
#QuitTikTok
#BoycottMulan
#BoycottBlizzard
#BandinChina
#CommunistNBA";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Irish elections;"#taoiseach
micheál martin
fine gael
#leovaradkar
irish government";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Israeli–Palestinian conflict;"#palestinewillbefree
#peacepalestine
#palestinalibre
#librepalestina
#palestineforever
#alquds
#alqudscapitalofpalestine
#jesuispalestine
#savegaza
#freegaza
#savepalestine
#freepalestine
#withpalestine
#Netanyahu
#Jordanvalley
#Jordan
#anexion";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Kim Jong-un health;"#kimjongun
#segi
#northkorea
#kekeyi
#jokowi
#dirumahaja
#aniesbaswedan
#dedycorbuzier
#reemarmartin";;;;;;;;;;;;;;;;;;;;;;
social issues;Lebanon riots ;#hassandiab;;;;;;;;;;;;;;;;;;;;;;
health;Legalization of cannabis in Lebanon;"#cannabis
#LebaneseParliament
#MichelAoun
#cannabis
#beirut
#لبنان";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Lesotho's Prime Minister resignation;"#Ntate
#Thabane
#LesothoPM
#ResignThabane
#TomThabane";;;;;;;;;;;;;;;;;;;;;;
health;LGBTI rights;"#samesex
#pride
#gay
#lgbt
#lgbtq
#loveislove
#love
#lesbian
#queer
#instagay
#gaypride
#pridemonth
#bisexual
#gayboy
#trans
#transgender
#rainbow
#dragqueen
#lovewins
#lgbtpride
#pansexual
#like
#nonbinary
#bi
#lgbtqia
#gaylove
#drag";;;;;;;;;;;;;;;;;;;;;;
violence & war;Libyan Civil War;"#haftar
#khalifahaftar
#lna";;;;;;;;;;;;;;;;;;;;;;
science & technology;Malaria;"#Microsporidia
#malaria";;;;;;;;;;;;;;;;;;;;;;
violence & war;Mass killing in Canada;"#Portapique
#NovaScotiaShooting
#Portapique
#publicinquiry
#MassMurder
#CallItFemicide
#canfem
#NovaScotiaStrong
#NovaScotia
#Halifax
#RCMP
#JustinTrudeau
#NovaScotianLivesMatter
#guncontrol
#DarkToLight
#QAnons
#cdnpoli";;;;;;;;;;;;;;;;;;;;;;
violence & war;Myanmar human rights conflict;#ArakanArmy;;;;;;;;;;;;;;;;;;;;;;
politics & economy;North Korea international affairs;"Inter-Korean Liaison Office
#NorthKorea
#KimJongUn";;;;;;;;;;;;;;;;;;;;;;
politics & economy;OECD;"#oecd
#ocde";;;;;;;;;;;;;;;;;;;;;;
culture;Olympics;"#olympics
#olympicgames
#olympic
#winterolympics
#roadtotokyo";;;;;;;;;;;;;;;;;;;;;;
science & technology;Paleontology;"#fossil
#kerrera";;;;;;;;;;;;;;;;;;;;;;
