date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-17 13:23:50,jairodeg1,,0,0,0,"Aida Merlano y su CELDA DE ORO. Según estas, está compartiendo lugar de reclusión con Yeico Manuel Vargas Silvera, el hombre con el que fue detenida en Maracaibo, estado Zulia, el pasado 27 de enero. Una especie de celda conyugal con todos los lujos. https://www.eltiempo.com/mundo/venezuela/como-es-la-celda-donde-esta-recluida-aida-merlano-en-venezuela-460132?cid=SOC_PRP_POS-MAR_ET_FACEBOOK …",,,,1229396033039458304,https://twitter.com/jairodeg1/status/1229396033039458304
2020-02-17 13:23:32,SITOBUR_Oviedo,,0,1,2,"Asi como van las cosas, al parecer @MartinVizcarraC y @VicAZeballos ya deben tener celda asegurada en Castro Castro....unos cuantos añitos presos y luego a disfrutar el dinero malhabido. #OdebrechtNuncaMas",,@MartinVizcarraC @VicAZeballos,#OdebrechtNuncaMas,1229395959613927436,https://twitter.com/SITOBUR_Oviedo/status/1229395959613927436
2020-02-17 13:23:21,JuanaLaChama,JRBauza,0,5,14,"LO ESTÁN TORTURANDO Kevin Solís, preso político de la dictadura por segunda vez, está siendo torturado. Todas las madrugadas lo cambian de celda para bañarlo con manguera de presión mientras le gritan, tiene el rostro golpeado y esta en celdas aisladas. pic.twitter.com/eUyFKRjHO7",,,,1229395914026037249,https://twitter.com/JuanaLaChama/status/1229395914026037249
2020-02-17 13:15:03,LaProvinciaBsAs,,0,0,0,"Hallan muerto en su celda a cantante ruandés condenado por un complot contra presidente Kagame https://www.grupolaprovincia.com/espectaculos/hallan-muerto-en-su-celda-a-cantante-ruandes-condenado-por-un-complot-contra-presidente-kagame-448218 … vía @laprovinciabsas",,@laprovinciabsas,,1229393823580725250,https://twitter.com/LaProvinciaBsAs/status/1229393823580725250
2020-02-17 13:14:39,javiertreppo,fer_sampietro,0,0,0,"Celda 14.",,,,1229393724351885313,https://twitter.com/javiertreppo/status/1229393724351885313
2020-02-17 13:13:05,JusticiaOrg,la_patilla,0,2,5,"Luego de varias horas desaparecido, esposa del Gral. Raúl Baduel confirma que este #PresoPolítico militar fue devuelto a la celda conocida como #LaTumba en la sede del Sebin de Plaza Venezuela. #17Feb #InjusticiaMilitarVE #Venezuelahttps://twitter.com/la_patilla/status/1229390070475624448 …",,,#PresoPolítico #LaTumba #17Feb #InjusticiaMilitarVE #Venezuelahttps,1229393331056267265,https://twitter.com/JusticiaOrg/status/1229393331056267265
2020-02-17 13:08:15,lcarlosci,,0,0,0,"Con una celda ""cinco estrellas"" en Venezuela, ¿quien le cree a la Señora Merlano? Es evidente que Nicolás Maduro, la está utilizando con fines eminentemente retaleativos, en contra de @IvanDuque.",,@IvanDuque,,1229392112103362561,https://twitter.com/lcarlosci/status/1229392112103362561
2020-02-17 13:03:21,impulsobaires,,0,1,0,"Hallan muerto en su celda a cantante ruandés condenado por un complot contra presidente Kagame https://www.impulsobaires.com.ar/nota/279448/hallan-muerto-en-su-celda-a-cantante-ruandes-condenado-por-un-complot-contra-presidente-kagame/ …pic.twitter.com/mxsMgyNRMo",,,,1229390878541787137,https://twitter.com/impulsobaires/status/1229390878541787137
2020-02-17 12:59:27,MrJohanovic,,0,0,0,"Sabe alguien si la celda que dejó Sandro Rosell en Soto del Real está ocupada? #bartomeuout #Mafia #Escándalo #FCB",,,#bartomeuout #Mafia #Escándalo #FCB,1229389900778213376,https://twitter.com/MrJohanovic/status/1229389900778213376
2020-02-17 12:58:20,deminatam,NoticiasCaracol,0,0,1,"Cual secretaria d educación! aquí hay una TENTATIVA d HOMICIDIO! Llamen a la FISCALÍA!Deben ser procesadas esas jovenes como las DELINCUENTES q son.Q paguen dentro d una celda su grave delito!! O es q apuñalear entre 10 a una sola niña es un juego? Los actos x su nombre!Homicidio",,,,1229389618136670209,https://twitter.com/deminatam/status/1229389618136670209
