text;duration
Carmen Lomana;13:00
#protocolocontaminacion;12:05
#YoVoyATeruel;12:05
#PlanetaCalleja;12:00
Isco;11:35
#SmithLawrenceEH;11:05
Kroos;10:50
#ElGranDictador;10:45
#FelizJueves;10:35
Rubiales;10:30
#iHeartAwards;10:10
Vicepresidencia;09:40
#GanasDeTelepizza;09:35
#AmoAChollometro;09:30
Irán;09:30
Valencia;09:20
#FelizMiercoles;09:05
Jovic;08:55
#LlegaOT2020;08:50
Pilar de Borbón;08:45
Simone de Beauvoir;08:45
#atararear;08:20
#JokerEnFnac;08:10
#FirstDates8E;08:05
Jaume;08:00
Teresa Ribera;07:55
Ana Botella;07:50
Arabia Saudí;07:50
Modric;07:50
#IranvsUSA;07:45
Somalia;07:45
#GFVIP;07:40
Lesbiania;07:30
Lyme;07:30
#2020conXbox;07:25
#SiSePuede;07:25
Cleopatra;07:25
El Supremo;07:25
#CrashConCarrefour;07:00
#ParaQuéReyes;07:00
#resultadoaea;06:55
Hogar Social;06:50
#LegislaturaARV;06:40
Trump;06:40
albert abascal;06:35
#ShadowIsHere;06:25
Luis Gallego;06:25
#DavidBowie;06:20
#RAREday;06:20
Zidane;06:20
#ChiringuitoSupercopa;06:15
Will Smith;06:15
#AOTennis2Nacon;06:10
#dormiresdecobardes;06:10
Kai'sa;06:05
supercopa de europa;06:05
#investidura;06:00
#EscalaSur8;05:50
ana botín;05:50
Meghan Markle;05:40
#ESP9E;05:25
#GranDomingo888;05:25
Riot;05:25
DLCs;05:20
Espada y Escudo;05:15
Letonia;05:10
#birdsofprey;05:05
#map_of_the_soul_7;05:05
#PSPC2020;05:05
Día 9;05:05
Son 30;05:05
Supercopa;05:05
#MiCremaCRF;05:00
Garchomp;05:00
#PedroSanchezPresidente;04:55
Savic;04:50
#PokemonEXNintenderosIG;04:45
#CallejaBotín;04:40
Ana Rosa Quintana;04:40
Flashpoint;04:40
Groenlandia;04:40
Mariano;04:40
Sergi Roberto;04:40
#AlClímaxConPhoneHouse;04:35
Twitter de Albert;04:30
#KuzeyGüneyCap79;04:25
