text;duration
España;17:40
#QuemadUS;17:05
Spain;15:35
Portugal;15:30
WhatsApp;15:00
Venezuela;14:15
Abascal;14:00
PSOE;13:35
Trump;13:10
Star Wars;12:00
#DiaMundialDelArte;11:55
Pablo Motos;11:30
China;11:15
Iglesias;11:05
Barcelona;11:00
Francia;10:45
David;10:40
Javier;10:35
Rajoy;10:35
Covid;10:25
Harry Potter;10:10
Sánchez;10:10
Andalucía;09:50
Avicii;09:40
#FelizMiércoles;09:35
Tezanos;09:20
Madrid;09:05
Inda;08:30
Italia;08:20
Marlaska;08:10
Castilla;08:00
Jesús;08:00
El CIS;07:55
#DíaDelNiño;07:30
Sara;07:30
#PactosDeLaReconstrucción;07:25
Barça;07:20
Vampire;07:20
Alba;07:15
Ferreras;07:10
María;07:10
Argentina;07:05
Bach;07:05
Paula;07:05
Valencia;07:00
#SesiónDeControl;06:50
Alex;06:50
insta;06:50
iPhone;06:50
#rtxon;06:40
Alberto;06:40
werewolf;06:40
Xbox;06:40
Messi;06:35
#QuedOTEnCasa15A;06:25
Alemania;06:25
Pablo;06:25
Sevilla;06:20
Witch;06:20
#aprobadogeneral;06:15
Sam Raimi;06:15
Charmander;06:10
#TierraDeNadie8;06:05
Fiscalía;06:00
Pixie;06:00
#LaSemanaDeSanderson;05:55
#PlantillaABP;05:55
#TardeOTempranoAG;05:55
Elena;05:45
#AnneLookinTwitter;05:40
Iniesta;05:40
Murcia;05:40
Franco;05:35
Kiko;05:30
Casillas;05:25
Galicia;05:25
EEUU;04:55
Asturias;04:50
Cuba;04:50
Mermaid;04:50
Canarias;04:45
Ministra de Educación;04:45
RFEF;04:35
Rubí Omega;04:35
#UnaOposiciónIndecente;04:30
Jorge;04:30
#GèrardAcústico;04:25
#TeamASide;04:25
Caribe;04:25
Mario;04:20
Guindos;04:15
Lucia;04:15
Miguel;04:15
Ortega;04:10
Amazon Francia;04:05
Andrea;04:05
Piratas del Caribe;04:05
Un 97,3%;04:05
marta;04:00
#miprincipioymifin;03:55
Doraemon;03:55
#PrimerMESP;03:50
Celaá;03:50
Palkia;03:45
Formación Profesional;03:40
Javi;03:40
Cataluña;03:35
alicia;03:30
El Mobile;03:30
#ChiringuitoEnCasa;03:25
#SeñoritaLaPelicula;03:25
Demon;03:25
Hugo;03:25
Spiderman;03:25
Van der Sar;03:25
#banprestomola;03:20
#LennoxEnNetflix;03:20
#VivaElRey;03:20
Aylan;03:20
Ibai;03:20
Jose;03:20
Umbreon;03:20
#EnCasaConNacon;03:15
Aznar;03:15
CNMV;03:15
#14deabril;03:10
Ad Astra;03:10
Carmen;03:10
Irene;03:10
#BarómetroCIS;03:05
Cristiano;03:05
Padre de Familia;03:05
Toledo;03:05
#masterchef;03:00
Lydia;03:00
Spotify;03:00
#felizmartes;02:55
#SorteoGamingEnCasa;02:55
#DíaInternacionalDelPortero;02:50
#YoSoyYiya;02:50
Apple;02:50
Atleti;02:50
EL MÁS SALSEANTE DE TODOS;02:50
Montero;02:50
#WallsOlympics;02:45
Holanda;02:45
Oliver;02:45
Pilar Jurado;02:45
Tomorrowland;02:45
#AC2GratisUPLAY;02:40
#encasaconcuatroaldía;02:40
#InadinaAsk15A;02:40
#streamsamaiflaju;02:40
León;02:40
Málaga;02:40
Succubus;02:40
Twitter Atleti;02:40
#RepúblicaEnCasa;02:35
#StreamPartyLibertad;02:35
Buffon;02:35
Darius;02:35
darren;02:35
Gravity;02:35
Natalia;02:35
Playoff;02:35
Squirtle;02:35
#LaCafeteraGranRecesión;02:30
#TheGoodDoctor;02:30
#TodoEsMentira15A;02:30
#TrampaDeLaMoncloa;02:30
Jesús Vázquez;02:30
Rafael Candel;02:30
Rui Patricio;02:30
Segunda B;02:30
Vince;02:30
#AmorDePandemia;02:25
#PSPlusCallOfDuty;02:25
DROPS ACTIVADOS;02:25
El 2,7%;02:25
Ester;02:25
Felipe González;02:25
#FirstDates14A;02:20
Iglesias y Escrivá;02:20
Notre Dame;02:20
#PortfolioDay;02:15
Nagore;02:15
Patry Jordan;02:15
#bandodelahuerta;02:10
#FirstDates15A;02:10
#PizzaGrandeConMisPeques;02:10
#SinlaULL;02:10
Estados Unidos;02:10
Isabel;02:10
República;02:10
#AskMartin;02:05
Cristina;02:05
#Miercoles;02:00
Benito;02:00
Cayetana;02:00
César;02:00
España vs Portugal;02:00
FIFA;02:00
Santi;02:00
Sense8;02:00
Francisco Franco;01:55
Iker;01:55
Leonardo da Vinci;01:55
Natalia Lacunza;01:55
Raoul;01:55
#askanne;01:50
#eduhora255;01:50
#EnCasaConYEM;01:50
#MAPFREChallengers;01:50
Arceus;01:50
Casado;01:50
Desatranques Jaén;01:50
Escrivá;01:50
Fernando;01:50
Garzón;01:50
Paco;01:50
Vaporeon;01:50
#Aruseros347;01:45
#ElMundo;01:45
#EstePaísLoAlimentamosUnidos;01:45
#FinDeCursoExcepcional;01:40
Celia;01:40
El Tour;01:40
Marcos;01:40
Noxus;01:40
Spiderman 2;01:40
#elconquis13;01:35
#StarmanLeagueJ3;01:35
APROBADO GENERAL;01:35
Betis;01:35
Corea del Norte;01:35
Eddy;01:35
Lo de Rajoy;01:35
Sandra;01:35
Whiplash;01:35
Almeida;01:30
Guardia Civil;01:30
Rubiales;01:30
Simón;01:30
Universitarios;01:30
#SuperHumanos;01:25
Espeon;01:25
Rufián;01:25
#fugitivanova14abr;01:20
Google;01:20
Merkel;01:20
Parlamento Europeo;01:20
Rusev;01:20
Benji;01:15
Ibarra;01:15
Lc 24;01:15
Lucas;01:15
Marina;01:15
Embarazo;01:10
Giro;01:10
Grecia;01:10
Harry Styles;01:10
Macarena;01:10
Marx;01:10
#BatallaDeLosGallos;01:05
#QuedateEnCasaEH15;01:05
Aladdin;01:05
Bildu;01:05
EE.UU.;01:05
El IPC;01:05
Iñaki;01:05
Macarena Olona;01:05
Mariano;01:05
Stuart;01:05
Vuelta;01:05
Zidane;01:05
#NotreDame;01:00
#TeamJorge;01:00
álvaro;01:00
CCOO;01:00
Dune;01:00
Enhorabuena Javier;01:00
La Vuelta;01:00
Policía Nacional;01:00
Xavi;01:00
#1donlineconcertstayathome;00:55
CCAA;00:55
Manuel;00:55
Oblak;00:55
Thomas;00:55
#EnCasaLejosDeTi;00:50
#EnPrimeraLínea;00:50
Amadeu;00:50
Athletic;00:50
Drake;00:50
El FMI;00:50
Gordon Banks;00:50
Ronaldo;00:50
Sant Jordi;00:50
Sylveon;00:50
#QuedateEnCasaEH14;00:45
Amazon;00:45
Bella;00:45
Futurama;00:45
Juice WRLD;00:45
Seaman;00:45
Amelia;00:40
Andrés;00:40
Generalitat;00:40
Mulan;00:40
Plan Estratégico;00:40
Albert Escofet;00:35
Elimina 1;00:35
F1 2020;00:35
Mesut;00:35
Miramar;00:35
Miriam;00:35
Sergio;00:35
#AsturiasCantaEnCasa;00:30
#reloadedlivesweetcalifornia;00:30
Isabel Celaá;00:30
Paco Buyo;00:30
Zack;00:30
#AgentsOfSHIELD;00:25
Emilio;00:25
La Fuga;00:25
Mono Burgos;00:25
Sansa;00:25
Sony;00:25
#14abrilrepublicaviva;00:20
#COVID2019;00:20
#TabúsCeguesaTV3;00:20
austria;00:20
Chávez;00:20
El Señor de los Anillos;00:20
Leo Franco;00:20
Manuel Castells;00:20
Pekín Express;00:20
taehyung;00:20
#15Abr;00:15
#Minecraft;00:15
#NewtralVerificaQue;00:15
Antonio López;00:15
Ayuso;00:15
De Guindos;00:15
La CNMV;00:15
Ministerio de Universidades;00:15
play off;00:15
yoongi;00:15
#encasaconsalvame;00:10
#NuestraMejorVictoria;00:10
#PequeñoGuardiánAlTeléfono;00:10
#republicaya;00:10
64GB;00:10
África;00:10
El 87,8%;00:10
El Inmundo;00:10
Gobierno y CCAA;00:10
Inglaterra;00:10
José Zafrilla;00:10
Plan de Protección Social;00:10
Puesto de España;00:10
#AssaultDivisionLVLUP;00:05
Borja;00:05
Catalunya;00:05
Patri;00:05
Rosendo;00:05
Selena;00:05
Spider-Man 2;00:05
