text;duration
Escondite;15:00
#NochedeReyes;11:00
#RIPGreta;10:50
#ladecisióndehugo;10:45
#GoldenGlobes;10:40
#FelizDomingo;10:20
#WeMissYouCan;10:15
Manuel Castells;09:50
Valverde;09:50
Bills;09:35
Aitor Esteban;09:15
Wu Lei;08:50
Burns;08:30
#RoscónXboxKoch;08:20
Consumo;08:05
#GianmarcoNoEstáSolo;08:00
De Jong;07:50
Oblak;07:50
Rufián;07:40
Patriots;07:25
#BTSxGDA;07:15
Abascal;07:15
Arrimadas;07:15
Sánchez;07:15
bildu;07:10
Teruel;07:10
Espanyol;07:00
Asesinos;06:45
#GranadaMallorca;06:40
Aleix Vidal;06:40
Getafe;06:40
Metro 2033;06:40
Congreso;06:30
#IThinkILoveJBDay;06:25
#L6NinvestiDURA;06:25
Suárez;06:15
#AbuelitoDimeTú;06:10
#DirectoGolDerbi;06:10
Irene Montero;06:10
Texans;06:10
Torra;06:10
#NFLPlayoffs;06:05
Mertxe Aizpurua;06:05
Zubeldia;06:05
#UnSiParaAvanzar;06:00
Borja Iglesias;06:00
#PorUnaCoaliciónProgresista;05:55
#VivaLaVida260;05:55
Irán;05:55
Brady;05:50
Titans;05:45
#InvestiduraRTVE5E;05:40
#HoyLePidoALosReyes;05:30
Suárez Illana;05:30
Yolanda Díaz;05:30
#LaCafeteraVoten;05:25
#OrgulloSocialista;05:25
Foro Asturias;05:25
Curtis Jones;05:20
#DraculaNetflix;05:15
#felizsabado;05:15
#SanchezVendeEspana;05:15
Ana Oramas;05:15
Australia;05:15
Yeclano;05:15
Pablo Iglesias;05:10
#wwiii;05:05
Tamayazo;05:05
#rosavientos;05:00
Mollejo;05:00
Batet;04:55
Jefe del Estado;04:45
Courtois;04:40
Derrick Henry;04:40
Navarra Suma;04:40
España;04:35
Pollito;04:35
El Parlamento;04:30
Guaidó;04:30
#AtletiLevante;04:25
casado;04:25
Josh Allen;04:25
#skol;04:20
Reyes;04:20
#RayoGirona;04:15
Cazorla;04:15
Portu;04:15
Baltasar;04:10
El Parlament;04:10
Mateu Lahoz;04:10
#njwk14;04:05
Numancia;04:05
Pedro Martínez;04:05
#debateinvestidura;04:00
Frenkie;04:00
Villarreal;04:00
#Cabalgata;03:55
#CabalgataRTVE;03:55
