text;duration
#CanalOT7J;18:50
#YoNoMeArrodillo;15:50
JK Rowling;15:20
Obtuve 60;15:05
#L6Nconvidviendo;14:15
#FelizDomingo;14:05
Normandía;14:00
#FelizSabado;13:20
#BlackLivesMattters;13:15
El Condenas;13:05
#vuelveborrego;13:00
Malú;12:55
Messi;12:55
#DiaMundialDelMedioAmbiente;12:35
#SamanthaALaResistencia;12:35
Isa Serra;12:30
#MediaMarktconXBOXyCyberPunk;12:25
#AyusoAPrision;12:15
Hacendado;12:15
Código Lyoko;12:05
#qcec20;12:00
PANDEMIA MUNDIAL;11:25
#VivaLaVida303;11:15
Hatsune Miku;11:15
#LaUltimaCena3;11:00
#tracavivientes;11:00
#UFC250;11:00
#DDay;10:50
los goonies;10:35
#ConAdaraAMallorca;10:25
Annapurna;10:05
#OTDirecto6J;10:00
#IndyCar;09:40
Marchena;09:25
Verified Lesbian;09:20
Nilo;09:00
Ignatius;08:15
Jiménez Losantos;08:05
Francisco Mendoza;08:00
#VivaLaVida304;07:45
Winx;07:40
#EspañaNoEsUnaONG;07:35
#MonoDeFutFem;07:30
Broncano;07:30
Drazen Petrovic;07:30
el fmi;07:25
Girauta;07:20
#liarlapardo87;07:15
#OTDirecto7J;07:15
#decirmujernoesofensivo;07:10
Santísima Trinidad;07:10
Fase 3;07:00
Snape;07:00
Antonella;06:55
Tom Jones;06:50
#7Junio;06:45
Jordi Mestre;06:40
Liam Neeson;06:35
#AlóPresidente;06:20
Carmen Borrego;06:20
#LuchamosConLuimelia;06:15
95% del PIB;06:10
Hermione;06:10
TERF;06:10
#CarruselGanasdeLiga;06:05
Dani Rovira;06:05
Operación Paso del Estrecho;06:00
#PerxitaPaMi;05:55
Cayetanos;05:55
Embajada de EEUU;05:55
Raya;05:50
#BlackLivesMatterSpain;05:45
#ConoceSanPablo;05:45
#MinecraftSwitchCRF;05:40
#MePonesEnJunio;05:35
#rosavientos;05:35
Miguel Bosé;05:35
Rick Riordan;05:35
#FueraFranquismoDelEstado;05:25
#IStandWithJKRowling;05:25
Enhorabuena;05:20
neymar;05:15
#13reasonswhyseason4;05:10
Carnota;05:10
#ComunidadNegraResiste;05:05
Día 7;05:05
Fake Love;05:05
Lucía;04:55
William;04:55
#LentearRadio3;04:50
#LoNuestroPrimero;04:50
Jn 3;04:45
Bristol;04:40
Colin Powell;04:40
Ulrich;04:40
Werder Bremen;04:40
Manifestación;04:35
Ozuna;04:35
Yumi;04:25
#Mujeres714;04:10
#ccubicos227;04:05
Juan Muñoz;04:05
Savater;04:05
#UnAñoSpoiler;04:00
23-F;04:00
jotaká;04:00
#CanalOT6J;03:55
Cristiano;03:55
Fernando Savater;03:55
moreno;03:55
Banksy;03:50
Cavani;03:50
CIEs;03:50
#Kuzgun15;03:45
Irresponsables;03:45
Dumbledore;03:40
Trans;03:40
Nuñez de Balboa;03:35
Percy Jackson;03:35
Churchill;03:30
arco;03:25
hazard;03:25
#EurovisionAgain;03:20
#RespectJeongyeon;03:20
Aron;03:20
Famous;03:20
Harry Potter;03:15
#Calma2M;03:10
#RegularizaciónYa;03:10
Aelita;03:10
Rosa Montero;03:10
Di Stéfano;03:05
PP vasco;03:05
Witch;03:00
#CadenazoApoyoMutuo;02:55
ennio morricone;02:55
Raval;02:55
Jongdae;02:50
Pooh;02:50
porque dios;02:50
#AnahiLiveSensation;02:45
#FAQSgurucetaTV3;02:45
#indymovistar;02:45
Pisuerga;02:45
#DearClassOf2020;02:40
#OxitocinaYSinMásEnLaFinal;02:40
#salvamedeluxe;02:40
Día 86;02:40
Elba Jonazo;02:40
Gracias a la URSS;02:40
Jordi Pujol;02:40
Lyoko;02:35
#FlaviOT7J;02:30
#HoyNo;02:30
#IZONE;02:30
#PublishingPaidMe;02:30
albert rivera;02:30
Pepe Martín;02:30
Thresh;02:30
#fase3;02:25
#OrangeCrownLeaguePrefinals;02:25
flora;02:25
María Claver;02:25
Palou;02:25
;02:20
#TheGoonies;02:20
Prince;02:20
Polémica;02:15
Rata Mora;02:15
Rowling;02:15
Soñé;02:15
#ElMismoAire;02:10
#FirstDates7J;02:10
#GolRSNeskak1920;02:10
#diamundialdelvencejo;02:05
#FelizFinde;02:05
#LasMujeresConJKRowling;02:05
#N1CanalFiesta24;02:05
Borregos;02:05
#Banksy;02:00
#HellsWedding;02:00
#LasVidasNegrasImportan;02:00
#yiyainteligente;02:00
Condenada;02:00
Duero;02:00
El 7;02:00
Emre Can;02:00
Gloria al Padre;02:00
Índice de Felicidad Ciudadana;02:00
Pakistán;02:00
#AlcoaNonPecha;01:55
#MATDorado;01:55
#Socialite342;01:55
Javier Sardá;01:55
La 8;01:55
Martorell;01:55
Sophie;01:55
tomb raider;01:55
#ObjetivoAhoraQué;01:50
López Miras;01:50
Petrovic;01:50
#imprescindibles;01:45
#SVDebateFinal;01:45
Ana Obregón;01:45
Decencia;01:45
NATALIE;01:45
Yiya;01:45
#vivalavida;01:40
La Ertzaintza;01:40
Sant Jaume;01:40
guantánamo;01:35
Jeremy;01:35
Policía Asesina;01:35
#LoImportanteYaEstáMai;01:30
Javier Tebas;01:30
wolfsburgo;01:30
#CasaHermandad8;01:25
Contrainforme del 8M;01:25
Ejército Rojo;01:25
Obtuve 25;01:25
Sabela;01:25
#Bansky;01:20
Chicho;01:15
Fichas;01:15
José Luis Rodríguez Zapatero;01:15
namjoon;01:15
Pretty Cure;01:15
Serrano;01:15
#Destiny2;01:10
#Trinidad;01:10
bangtan;01:10
Cristina Pardo;01:10
Ibai Llanos;01:10
Josefina;01:10
Martes 23;01:10
Pichi Pichi Pitch;01:10
#detectives;01:05
AIReF;01:05
Girona;01:05
Indycar;01:05
Radovic;01:05
#Genesys300;01:00
#setupaceitunero;01:00
Aló Presidente;01:00
Bengala;01:00
Buen Domingo;01:00
Hdad de la Macarena;01:00
Mota;01:00
#Superviviente2020;00:55
Keanu;00:55
Paco González;00:55
#360ElVirusdelaCorona;00:50
#goonies;00:50
#Microsoft24Hours;00:50
Amaia;00:50
Obtuve 32;00:50
Stalingrado;00:50
viva la vida;00:50
Viveiro;00:50
#LosGoonies;00:45
conde Merino;00:45
Hertha;00:45
#n1canalfiesta23;00:40
#WomenSupportJKRowling;00:40
Keanu Reeves;00:40
#BlackLivesMatterMadrid;00:35
#irresponsables;00:35
Lola Índigo;00:35
Los Cayetanos;00:35
día d;00:30
Faltas;00:30
Michelle Obama;00:30
obtuve 11;00:30
Domingo 7;00:25
Edward Colston;00:25
Txagorritxu;00:25
#HercaiNova7Jun;00:20
#villajavy;00:20
BASTOS;00:20
Drazen;00:20
Dumbo;00:20
hijo y espíritu santo;00:20
J. K. Rowling;00:20
Jueves 25;00:20
#FelizDomingoATodos;00:15
Code Lyoko;00:15
Conde de Montecristo;00:15
Federico Jiménez Losantos;00:15
Xana;00:15
#allafricanlivesmatter;00:10
#BarışArduç;00:10
#HugoEsElProtaDeSV2020;00:10
Pavón;00:10
#FirstDates6J;00:05
#THANKYOUBTS;00:05
Antonio David;00:05
Barranco;00:05
Jornada 30;00:05
Salwa Eid Naser;00:05
Sofía Suescun;00:05
