text;duration
Yo con 20;16:20
#SVGala9;16:10
#paguita;13:45
Felicidades Alcalde;12:15
#LosMonosdelaUJA;12:10
Fiona Apple;11:30
#FelizFinde;11:10
#SilenciaElPaís;11:00
España;10:55
PSOE;10:55
Idealista;10:45
Risto;10:15
China;09:50
#JugandoConFuego;09:40
Montoro;09:30
#IreneMontero;09:15
#QuedOTEnCasa17A;09:15
#TheCloneWars;08:50
#ChollometroYMedionOnFire;08:45
Gilead;08:45
Universidad de Extremadura;08:45
Rosa Luxemburgo;08:30
#17Abril;08:20
#DamePaguita;08:20
pablo;08:20
La Ñ;08:10
#DisneyFamilySingalong;08:05
Hufflepuff;08:05
#MiXiaomiConPcComponentes;08:00
#UltimaConDeepcool;07:50
#HuelgaTelepizzaCovid;07:35
#ImReady;07:35
#NoMeDespedíVideoclip;07:35
Pepu;07:35
Garry Galaxy;07:30
Javier Ruiz;07:30
zac efron;07:30
Blas;07:15
Madrid;07:15
#felizjueves;07:10
El Rey Felipe;07:10
Gabriel García Márquez;07:10
Waor;07:00
Rajoy;06:55
whatsapp;06:50
Denzel;06:45
luis sepúlveda;06:45
María Patiño;06:45
#FFpaciente;06:40
Monomarental;06:35
Paco Camino;06:35
Spain;06:35
#GuiltyGear;06:30
Kurt Cobain;06:30
Amazonas;06:25
Venezuela;06:20
#EternoAlcántara;06:15
#findesemana;06:15
Iglesias;06:15
Snape;06:15
Alemania;06:10
Carlos Donoso;06:05
#jijo;05:50
namjoon;05:50
Sánchez y Casado;05:45
#EurovisionHomeConcerts;05:40
#SeparadosPeroJuntos;05:40
Orozco;05:40
#hemofilia;05:35
Ernesto Sevilla;05:35
Trump;05:35
#ViernESP17;05:30
Día 36;05:30
Hard GZ;05:20
Almeida;05:10
Rui Costa;05:10
Fran Rivera;05:05
#Flat101DS;05:00
#LaCafeteraDIÁLOGO;05:00
#QuedOTEnCasa16A;05:00
EEUU;05:00
#MeAt20;04:55
#SoñamosJuntos;04:55
Johnny Depp;04:55
#CartaMaitino;04:50
#LaJunglaOriginalYCopia;04:50
#OT18EnCasa;04:50
Mapei;04:50
Atleti;04:45
Elena;04:45
García Page;04:45
Sam Smith;04:45
#FinalVilaFights;04:40
#IngresoMinimoVital;04:40
Francia e Italia;04:40
Iglesias de España;04:40
#MonumentosYSitiosAND;04:35
#2MillonesLTA;04:30
#lovamosviendo;04:30
#sigueleelrolloalhuguin;04:30
Abascal;04:30
McGonagall;04:30
El Defensor del Pueblo;04:25
Pedro Piqueras;04:25
#BuenViernes;04:20
#SantJordiTHOSBebi;04:20
jungkook;04:20
Velázquez;04:20
Ángel Torres;04:15
Barça;04:15
David;04:15
