20,Perales,0,1
20,Alcântara,0,1
20,Premio Nobel de Literatura,0,1
20,don pablo,0,3
20,Kondogbia,0,2
20,El Eibar,0,2
21,Gerda Taro,0,2
21,Azorín,0,1
21,Chica Sobresalto,0,1
21,Chelo,0,2
21,Mijatovic,0,2
21,Luca Papi,0,2
21,Unai López,0,2
21,Zubeldía,0,3
21,Anxo Carro,0,3
22,fcom,0,2
22,Operación Camarón,0,4
22,Los Cármenes,0,2
22,Feliz 118,0,2
22,Carlos Soler,0,1
23,Akapo,0,1
23,José Manuel,0,1
23,Villalibre,0,2
23,Jason Derulo,0,2
23,Alma Guerrera,0,1
24,Baeza,0,3
24,Chimo,0,1
24,Morat,0,1
24,Séptima,0,2
24,Machís,0,2
24,Antonio y Merche,0,1
25,Las Cortes,0,3
25,Caja Mágica,0,1
25,Cortes Generales,0,1
25,Facultad de Comunicación,0,1
25,Joakim Noah,0,1
25,Antoñín,0,2
26,Capde,0,1
26,Soto del Real,0,1
26,Vesga,0,2
26,Micov,0,1
26,#dormiresdecobardes,0,3
27,#HUAWEIeStoreGT2,0,10
27,Diakhaby,0,2
27,#tentacionesuji,0,4
27,Joan Planas,0,2
28,Ponsarnau,0,1
28,#SoyFanDeCanYaman,0,5
28,#mujeresperiodistas,0,3
28,Pokémon Mundo Misterioso DX,0,2
28,#8marzo2020,0,4
29,Mouriño,0,1
29,#MisionRuneFactory4Special,0,11
29,#UncoverTheUltimate,0,7
29,Centenariazo,0,1
29,#GraciasGranada,0,6
29,#LosDesayunos,0,3
29,#HoyYaNo6M,0,3
30,#300SalvarCristian,0,2
30,El Prado,0,2
30,#ChiringuitoBarcelona,0,2
30,Carmenes,0,1
30,Coquelin,0,1
30,José Zaragoza,0,1
30,Norandro,0,1
31,#OSondoCamiño,0,1
31,#Giandara6M,0,8
31,#MUJERporencimadetodo,0,2
31,#ciberfyer,0,4
31,Gabarra,0,1
31,#SyCMujeres,0,1
31,Ni Una Menos,0,2
31,Perea,0,1
32,#EternaLucha,0,6
32,#ChollometroYHuawei,0,7
32,#anaduato,0,1
33,#CantaremosConMalú,0,3
33,#notermino,0,3
33,Arsenio Iglesias,0,1
33,#logopedia,0,4
33,Gento,0,1
33,HTCMania,0,1
34,#AnaGuerraTelegram,0,3
34,#euskalfinala,0,4
34,#ThePool,0,4
34,Lo del VAR,0,1
34,#PeleteiroEH,0,1
34,#maitinersconaria,0,2
34,#HaciendoHistoria,0,2
35,#ConFuerzayConValor,0,3
35,#TodosConSofiaSuescun,0,2
35,#LRBeatrizLuengo,0,2
35,#equipocura,0,1
35,#publatraviatacc,0,2
36,#FFPaciente,0,3
36,#OnwardPixar,0,4
36,#TuCaraMeSuena,0,1
36,#pesadillalolailo,0,2
36,#QatarGP,0,3
36,#BloodQuantum,0,2
36,#LibertyConEurope20,0,2
37,#LugoCadiz,0,1
37,#ModernWarfareT2,0,6
37,#ConLosPiesEnElSuelo,0,6
37,#CantaréMalú6M,0,1
38,#Lucid,0,2
38,#Synchronic,0,2
38,#QueThiJugues,0,1
38,#MdT4,0,3
38,#GirlsGetEqual,0,3
38,#Centenariazo,0,5
38,#AR6M,0,3
39,#SolaYBorracha,0,5
39,#IgualdadDeGénero,0,1
39,#pokemonmundomisterioso,0,4
39,#QuimeraTourPamplona,0,5
39,#80meAlmeria,0,2
39,#agujaflamenca1,0,1
40,#ThisIsNotSpanishAtiny,0,3
40,#Invisibles,0,1
40,#PharmaMar,0,4
40,#OPPOFindX2Series,0,2
40,#MaestroFrio,0,5
41,#athlive,0,2
41,#Amunt,0,1
41,#FandomKiralikAsk2,0,2
41,#Veneno,0,1
41,#SomosLaAudiencia6M,0,3
41,#LoyalBraveTrue,0,3
42,#CopaFutsalEnGol,0,3
42,#NoHablesEnMiNombre,0,5
42,#UGTFeminista,0,2
